1,Muñeca articulada,Muñeca articulada colores vibrantes,115.93,34,JUGUETERIA
2,Set de toallas,Set de toallas facil de limpiar,386.2,72,HOGAR
3,Pantalon vaquero,Pantalon vaquero gran comodidad,304.12,14,ROPA
4,Portatil,Portatil con gran autonomia,481.51,97,ELECTRONICA
5,Paquete de arroz,Paquete de arroz perfecto para el dia a dia,30.87,14,ALIMENTACION
6,Auriculares Bluetooth,Auriculares Bluetooth de ultima generacion,87.69,16,ELECTRONICA
7,Puzzle de 1000 piezas,Puzzle de 1000 piezas materiales seguros,365.53,91,JUGUETERIA
8,Cargador portatil,Cargador portatil de facil uso,367.61,13,OTROS
9,Agenda anual,Agenda anual con diseno exclusivo,410.48,16,LIBRERIA
10,Juego de mesa familiar,Juego de mesa familiar con accesorios incluidos,385.76,1,JUGUETERIA
11,Juego de mesa familiar,Juego de mesa familiar estimula la creatividad,146.95,22,JUGUETERIA
12,Caja de cereales,Caja de cereales sin azucar anadido,36.04,54,ALIMENTACION
13,Cortina de ducha,Cortina de ducha materiales resistentes,377.84,68,HOGAR
14,Raqueta de tenis,Raqueta de tenis ideal para entrenamiento,401.88,53,DEPORTE
15,Pesas ajustables,Pesas ajustables ergonomico,398.33,47,DEPORTE
16,Portatil,Portatil con pantalla 4K,386.23,92,ELECTRONICA
17,Paquete de arroz,Paquete de arroz sin azucar anadido,16.43,99,ALIMENTACION
18,Boligrafo azul,Boligrafo azul tapa dura,199.67,5,LIBRERIA
19,Set de marcadores,Set de marcadores tapa dura,488.98,92,LIBRERIA
20,Chaqueta impermeable,Chaqueta impermeable para cualquier ocasion,443.46,90,ROPA
21,Sudadera con capucha,Sudadera con capucha diseno atemporal,8.91,36,ROPA
22,Boligrafo azul,Boligrafo azul ideal para estudiantes,323.72,70,LIBRERIA
23,Mochila escolar,Mochila escolar de facil uso,388.82,39,OTROS
24,Paquete de arroz,Paquete de arroz perfecto para el dia a dia,17.39,93,ALIMENTACION
25,Set de marcadores,Set de marcadores edicion limitada,145.54,12,LIBRERIA
26,Zapatillas deportivas,Zapatillas deportivas diseno atemporal,379.74,21,ROPA
27,Televisor LED,Televisor LED ideal para entretenimiento,298.29,31,ELECTRONICA
28,Chaqueta impermeable,Chaqueta impermeable gran comodidad,59.67,8,ROPA
29,Set de toallas,Set de toallas color neutro,180.46,7,HOGAR
30,Tableta de chocolate,Tableta de chocolate sin azucar anadido,29.05,1,ALIMENTACION
31,Mochila escolar,Mochila escolar compacto y ligero,403.67,75,OTROS
